book_id,user_id,rating
1,439,3
1,5461,3
1,7563,3
1,20076,3
1,20467,3
1,29123,3
1,33890,3
1,39423,3
1,41074,3
1,48482,3
1,50342,3
1,51460,3
10,5272,3
10,5461,3
10,6630,3
10,8167,3
10,9731,3
10,12455,3
10,15547,3
10,15604,3
10,20076,3
10,21217,3
10,32338,3
10,39423,3
10,41074,3
10,51166,3
100,1169,3
100,1952,3
100,3087,3
100,4536,3
100,6634,3
100,7979,3
100,9246,3
100,10111,3
100,10140,3
100,11927,3
100,13282,3
100,17434,3
100,20467,3
100,21217,3
100,21676,3
100,24326,3
100,26661,3
100,28767,3
100,30794,3
100,32576,3
100,32592,3
100,34688,3
100,35146,3
100,37690,3
100,43622,3
100,43985,3
100,45554,3
1000,9768,3
1000,10012,3
1000,17525,3
1000,21713,3
1000,22640,3
1000,33547,3
1000,37047,3
1000,45105,3
1000,45604,3
1000,49327,3
1000,52503,3
10000,5505,3
10000,8292,3
10000,9040,3
10000,10733,3
10000,13733,3
10000,17999,3
10000,21561,3
10000,22834,3
10000,25166,3
10000,25466,3
10000,27858,3
10000,28611,3
10000,31208,3
10000,31293,3
10000,31741,3
10000,33083,3
10000,42810,3
10000,43068,3
10000,44655,3
10000,47326,3
1001,256,3
1001,461,3
1001,725,3
1001,1477,3
1001,2041,3
1001,2336,3
1001,4967,3
1001,5108,3
1001,5335,3
1001,5812,3
1001,5950,3
1001,6875,3
1001,7363,3
1001,8565,3
1001,10317,3
1001,11122,3
1001,12383,3
1001,12418,3
1001,13743,3
1001,17105,3
1001,19093,3
1001,19611,3
1001,20077,3
1001,20855,3
1001,22534,3
1001,22832,3
1001,23589,3
1001,24717,3
1001,30924,3
1001,30958,3
1001,34608,3
1001,36891,3
1001,37503,3
1001,45059,3
1001,45880,3
1001,46754,3
1001,47018,3
1001,47056,3
1001,47056,3
1001,51151,3
1002,1837,3
1002,4757,3
1002,5760,3
1002,10613,3
1002,16121,3
1002,17922,3
1002,19317,3
1002,25897,3
1002,30958,3
1002,34703,3
1002,45260,3
1002,49262,3
1002,51250,3
1002,53054,3
1002,53366,3
1003,2552,3
1003,9285,3
1003,11545,3
1003,13776,3
